"","ID","P.value","Significant","Expression.profile","VEG","MEI","FRG","DEV1","DEV2.3","DEV4"
"24344","PTET.51.1.G0010005","2,91E-006","YES","Late peak","85,79293742","116,9093008","107,8943028","133,8460814","184,8205558","149,9133717"
"24345","PTET.51.1.G0010006","4,60E-005","YES","Early repression","719,7335805","280,7904776","230,5875122","257,0384218","375,0906538","264,5126979"
"24346","PTET.51.1.G0010007","1,69E-003","YES","Early repression","369,6958613","242,9307405","181,6539481","177,2947443","220,7079192","176,474051"
"24347","PTET.51.1.G0010008","0,003757657","YES","Intermediate peak","284,2146226","336,3146477","513,8936885","625,4847315","656,0828157","617,6093096"
"24348","PTET.51.1.G0010010","3,23E-005","YES","Late induction","37,38719624","38,78755104","78,14766877","75,89747768","82,93955434","93,72124698"
"24349","PTET.51.1.G0010011","2,87E-007","YES","Late peak","168,6317208","279,283825","230,3264392","584,5796174","621,5280282","352,0051571"
"24350","PTET.51.1.G0010012","2,70E-013","YES","Early peak","40,8552868","314,552478","197,2648978","126,3245155","9,105754499","16,3830819"
"24351","PTET.51.1.G0010019","5,84E-033","YES","Late induction","0,629253349","6,680936715","40,98060022","347,6312473","643,2377391","568,1179654"
"24352","PTET.51.1.G0010021","7,90E-004","YES","Late induction","106,7543505","214,6113433","217,089427","179,4533792","237,0022501","242,6779356"
"24353","PTET.51.1.G0010022","5,73E-023","YES","Late induction","93,27119732","141,3586281","457,6407005","624,7414795","716,0711877","571,5348849"
"24354","PTET.51.1.G0010023","5,96E-003","YES","Intermediate peak","80,84786733","150,0583453","270,3794505","168,6683615","117,5646741","122,9986656"
"24355","PTET.51.1.G0010024","4,16E-016","YES","Early repression","1247,37669","345,8046864","344,902027","365,557889","366,7568896","405,9941933"
"24356","PTET.51.1.G0010026","8,57E-006","YES","Late repression","60,49181367","64,61917478","94,21932088","92,06186101","7,92292951","5,183958701"
"24357","PTET.51.1.G0010027","6,21E-082","YES","Late induction","20,5846343","37,59400351","254,854159","1520,564468","1638,083303","1303,286734"
"24358","PTET.51.1.G0010030","6,65E-015","YES","Late repression","474,2318826","587,4693288","404,9732037","291,8321993","175,3192701","261,6401961"
"24359","PTET.51.1.G0010034","0,001736603","YES","Late induction","43,06108091","73,44184096","95,04092612","68,72442368","111,7589187","135,2372011"
"24360","PTET.51.1.G0010036","4,04E-004","YES","Early repression","203,8532697","137,53959","93,37056889","81,997713","109,1122312","61,75561897"
"24361","PTET.51.1.G0010038","1,37E-006","YES","Early repression","1575,504993","1098,075904","708,7088519","443,6022798","493,5961607","549,5779025"
"24362","PTET.51.1.G0010041","2,02E-003","YES","Early peak","62,83598811","186,5482252","133,6007156","58,27038117","93,40803581","95,55157594"
"24363","PTET.51.1.G0010046","2,09E-009","YES","Early repression","11213,51371","6448,207303","5004,323568","5485,922183","6628,608064","8870,374419"
"24364","PTET.51.1.G0010047","1,38E-005","YES","Late peak","4,383462597","12,93244623","24,49938003","33,82102233","33,22674167","11,2620518"
"24365","PTET.51.1.G0010048","0,002057464","YES","Late induction","0,449881315","2,865133228","1,402522491","1,471939525","11,23143587","22,2283795"
"24366","PTET.51.1.G0010050","3,94E-003","YES","Intermediate peak","42,55475069","40,71228305","109,3757","105,5305365","85,46665498","88,87234717"
"24367","PTET.51.1.G0010053","6,89E-004","YES","Late repression","32,86698544","60,28915453","72,38146769","85,90976856","4,570073526","8,751704259"
"24368","PTET.51.1.G0010054","5,19E-009","YES","Intermediate peak","15,33675095","32,61389164","42,82455658","51,79271368","59,9930643","48,28397627"
"24369","PTET.51.1.G0010056","4,82E-005","YES","Early repression","7956,139675","4791,085038","3799,920179","3420,714835","4566,192123","5413,356667"
"24370","PTET.51.1.G0010058","1,19E-015","YES","Late repression","492,3914979","259,2265619","301,5054154","199,7879801","153,7617828","147,6202211"
"24371","PTET.51.1.G0010059","5,64E-031","YES","Late repression","1551,118656","2406,992758","1820,775687","1615,553441","66,81989524","146,6673266"
"24372","PTET.51.1.G0010060","3,06E-005","YES","Early repression","1144,395065","236,2781249","81,32864917","115,8661072","347,4466638","209,8986507"
"24373","PTET.51.1.G0010061","9,16E-004","YES","Late repression","275,0102415","142,0899626","86,91108855","116,8268473","127,5975901","63,159379"
"24374","PTET.51.1.G0010065","1,46E-007","YES","Late repression","288,0615398","187,9916937","246,408184","218,9654954","82,38221006","112,5232572"
"24375","PTET.51.1.G0010069","5,01E-003","YES","Late repression","181,4974016","35,49272713","61,73796217","103,2774863","76,29450528","48,4376978"
"24376","PTET.51.1.G0010070","1,27E-011","YES","Late repression","284,3046994","192,8789784","188,8852959","165,6284721","127,4260087","176,1829956"
