"","ID","P.value","Significant","Expression.profile","VEG","MEI","FRG","DEV1","DEV2.3","DEV4"
"1","PTET.51.1.G0010001","0,662500437","NO","none","319,8272464","310,9019914","347,3515141","344,9851659","356,8311673","355,8179555"
"2","PTET.51.1.G0010002","0,399624951","NO","none","341,8887314","264,5241112","366,5534625","510,6470648","436,6806805","343,5485323"
"3","PTET.51.1.G0010003","0,025379563","NO","none","111,7160998","132,1456597","185,3470938","242,683884","204,4215748","143,3501714"
"4","PTET.51.1.G0010004","1,00E+000","NO","none","0","0","7,325063174","0","0","0"
"5","PTET.51.1.G0010009","2,20E-001","NO","none","2,110679049","0","7,155038182","8,087875159","13,13359683","10,88170931"
"6","PTET.51.1.G0010013","0,187972662","NO","none","143,3966165","93,41278156","148,8958179","156,831062","172,7672319","209,7807641"
"7","PTET.51.1.G0010014","0,022756154","NO","none","1510,382683","1634,091008","1668,953611","1757,514082","2178,251766","3360,231777"
"8","PTET.51.1.G0010015","0,034455047","NO","none","47,23020854","45,50810652","80,17157031","92,93276131","79,07183505","107,8695815"
"9","PTET.51.1.G0010016","0,28825148","NO","none","2,925499333","5,057893597","12,27891988","22,95915211","17,05452631","5,14036324"
"10","PTET.51.1.G0010017","6,76E-002","NO","none","5,106506236","17,89263385","27,16537484","55,56180405","18,07097554","23,52616388"
"11","PTET.51.1.G0010018","4,43E-001","NO","none","170,5226222","198,5562412","168,4914649","194,8494848","197,1598096","183,5147638"
"12","PTET.51.1.G0010020","0,008012807","NO","none","101,2191695","135,4131656","161,1996014","189,1344714","131,3566217","114,0192167"
"13","PTET.51.1.G0010025","1,73E-002","NO","none","489,3283408","443,1105997","433,5763295","551,8080006","609,1461678","737,794934"
"14","PTET.51.1.G0010028","0,188276256","NO","none","0,666217685","4,279489807","3,923157346","2,355872063","1,620661702","1,961832386"
"15","PTET.51.1.G0010029","1,60E-001","NO","none","453,2173294","485,019011","368,0970048","305,540384","373,5577297","279,5421694"
"16","PTET.51.1.G0010031","2,40E-001","NO","none","4,396274418","10,60050518","11,64826944","13,28449416","21,0759127","0"
"17","PTET.51.1.G0010032","0,456443323","NO","none","12,59986351","16,4571729","20,46679294","18,26869466","17,25775543","19,32448801"
"18","PTET.51.1.G0010033","0,028015893","NO","none","268,1908518","241,49154","255,5800657","241,6479424","179,1636102","173,5835519"
"19","PTET.51.1.G0010035","4,68E-001","NO","none","118,9111249","113,9399046","100,3807566","101,1558565","123,179246","142,2579904"
